origin,mag,place,dist_km,depth_km,fs,epoch,pre_1_15,pre_1_15_win,sig_1_15,snr,snr_rms,peak_1_15,az_deg,az,tp_s,ts_s,sustain_s,likely,pred_uv,resid_log10,seen,triggered,pre_lo,sig_lo,r_lo,pre_mid,sig_mid,r_mid,pre_hi,sig_hi,r_hi,lo_hi,pre_det,peak_det,snr_det,sustain_det_s,far_implausible
2026-09-07T23:47:03Z,1.14,"8 km ESE of Cloverdale, CA",45.7,5.0,100.0,100sps,2.762,3.051,2.379,1.27,0.86,3.513,323.5,NW,7.87,13.59,13.3,0,1.78,0.295,0,0,0.537,0.56,1.044,3.172,2.406,0.758,5.149,4.73,0.919,1.136,0.435,0.578,1.329,23.86,0
2026-09-07T22:54:13Z,1.08,"5 km WNW of The Geysers, CA",42.0,1.6,100.0,100sps,2.832,4.659,1.888,0.83,0.67,2.357,337.7,NNW,7.24,12.49,23.01,0,1.73,0.134,0,0,0.749,0.564,0.753,4.769,1.844,0.387,2.75,2.152,0.782,0.962,0.699,0.776,1.11,7.86,0
2026-09-07T21:47:39Z,1.02,"8 km NW of The Geysers, CA",45.3,2.0,100.0,100sps,2.608,3.529,3.395,2.37,1.3,6.193,338.2,NNW,7.81,13.48,5.13,0,1.365,0.657,0,0,0.58,0.571,0.984,3.665,3.539,0.966,1.949,1.965,1.008,0.976,0.486,0.589,1.211,25.81,0
2026-09-07T21:44:24Z,3.67,"36 km E of Hydesville, CA",253.0,24.2,100.0,100sps,3.739,2.293,3.145,1.82,0.84,6.794,339.2,NNW,35.89,63.73,3.88,0,36.582,-0.731,0,0,0.538,0.669,1.243,2.34,3.199,1.367,1.773,2.025,1.142,1.089,0.428,1.015,2.373,11.38,0
2026-09-07T21:37:27Z,1.17,"5 km NNW of Redwood Valley, CA",108.4,6.3,100.0,100sps,3.146,3.443,2.448,1.2,0.78,3.787,331.6,NNW,18.68,32.24,14.03,0,0.557,0.833,0,0,0.604,0.597,0.988,3.6,2.485,0.69,2.382,1.832,0.769,1.284,0.502,0.719,1.432,24.0,0
2026-09-07T20:43:40Z,0.77,"8 km WNW of Cobb, CA",46.0,1.9,100.0,100sps,2.548,1.808,3.33,2.72,1.31,6.923,339.2,NNW,7.92,13.67,3.67,0,0.753,0.963,0,0,0.539,0.526,0.975,1.766,3.441,1.949,1.421,2.117,1.49,0.655,0.428,0.555,1.298,24.9,0
2026-09-07T20:16:30Z,0.67,"11 km WNW of Cobb, CA",48.5,1.2,100.0,100sps,2.987,2.662,2.367,1.63,0.79,4.863,336.0,NNW,8.36,14.43,2.58,0,0.557,0.941,0,0,0.541,0.553,1.022,2.706,2.418,0.894,1.849,1.568,0.848,1.205,0.436,0.585,1.34,25.98,0
2026-09-07T20:15:44Z,1.16,"2 km SE of The Geysers, CA",36.1,-0.8,100.0,100sps,3.815,2.198,2.694,1.05,0.71,3.99,343.8,NNW,6.22,10.73,13.64,0,2.527,0.198,0,0,0.54,0.544,1.007,2.208,2.737,1.24,1.684,1.782,1.059,0.951,0.429,0.505,1.178,26.71,0
2026-09-07T20:14:51Z,1.49,"11 km WNW of Cobb, CA",48.5,1.6,100.0,100sps,3.851,3.365,2.799,1.1,0.73,4.228,336.0,NNW,8.36,14.43,14.34,0,3.685,0.06,0,0,0.57,0.556,0.975,3.479,2.859,0.822,1.961,1.881,0.959,1.017,0.47,0.56,1.191,23.02,0
2026-09-07T20:00:09Z,1.59,"1 km NW of Hollister, CA",207.5,10.2,100.0,100sps,3.979,6.776,3.735,1.76,0.94,6.998,148.6,SSE,31.93,56.35,7.77,0,0.462,1.18,0,0,0.537,0.55,1.024,7.16,3.838,0.536,4.399,14.117,3.209,0.319,0.423,0.563,1.331,35.17,1
2026-09-07T19:37:58Z,2.28,"11 km WSW of Petrolia, CA",254.4,14.6,100.0,100sps,3.988,4.386,2.986,1.65,0.75,6.599,323.6,NW,37.19,65.9,2.12,0,1.472,0.652,0,0,0.626,0.543,0.868,4.5,3.098,0.688,2.579,3.659,1.419,0.611,0.533,0.598,1.122,29.97,1
2026-09-07T19:01:32Z,1.61,"0 km S of Angwin, CA",20.1,-0.4,100.0,100sps,4.0,3.658,5.005,2.65,1.25,10.588,48.3,NE,3.46,5.97,4.19,0,14.636,-0.141,0,0,0.623,1.835,2.946,3.753,4.655,1.241,2.024,2.927,1.446,2.038,0.532,4.757,8.938,2.42,0
